,0
2020-12-26,1000000.0
2020-12-26,1000000.0
2020-12-27,1000000.0
2020-12-28,1000000.0
2020-12-29,1000000.0
2020-12-30,1000000.0
2020-12-31,1000000.0
2021-01-01,1000000.0
2021-01-02,1000000.0
2021-01-03,1000000.0
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-09,1000000.0
2021-01-10,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-16,1000000.0
2021-01-17,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-23,1000000.0
2021-01-24,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-01-30,1000000.0
2021-01-31,1000000.0
2021-02-01,1000000.0
2021-02-02,1000000.0
2021-02-03,1000000.0
2021-02-04,1000000.0
2021-02-05,1000000.0
2021-02-06,1000000.0
2021-02-07,1000000.0
2021-02-08,1000000.0
2021-02-09,1000000.0
2021-02-10,1000000.0
2021-02-11,1000000.0
2021-02-12,1000000.0
2021-02-13,1000000.0
2021-02-14,1000000.0
2021-02-15,1000000.0
2021-02-16,1000000.0
2021-02-17,1000000.0
2021-02-18,1000000.0
2021-02-19,1000000.0
2021-02-20,1000000.0
2021-02-21,1000000.0
2021-02-22,1000000.0
2021-02-23,1000000.0
2021-02-24,1000000.0
2021-02-25,1000000.0
2021-02-26,1000000.0
2021-02-27,1000000.0
2021-02-28,1000000.0
2021-03-01,1000000.0
2021-03-02,1000000.0
2021-03-03,1000000.0
2021-03-04,1000000.0
2021-03-05,1000000.0
2021-03-06,1000000.0
2021-03-07,1000000.0
2021-03-08,1000000.0
2021-03-09,1000000.0
2021-03-10,1000000.0
2021-03-11,1000000.0
2021-03-12,1000000.0
2021-03-13,1000000.0
2021-03-14,1000000.0
2021-03-15,1000000.0
2021-03-16,1000000.0
2021-03-17,1000000.0
2021-03-18,1000000.0
2021-03-19,1000000.0
2021-03-20,1000000.0
2021-03-21,1000000.0
2021-03-22,1000000.0
2021-03-23,1000000.0
2021-03-24,1000000.0
2021-03-25,1000000.0
2021-03-26,1000000.0
2021-03-27,1000000.0
2021-03-28,1000000.0
2021-03-29,1000000.0
2021-03-30,1000000.0
2021-03-31,1000000.0
2021-04-01,1000000.0
2021-04-02,1000000.0
2021-04-03,1000000.0
2021-04-04,1000000.0
2021-04-05,1000000.0
2021-04-06,1000000.0
2021-04-07,1000000.0
2021-04-08,1000000.0
2021-04-09,1000000.0
2021-04-10,1000000.0
2021-04-11,1000000.0
2021-04-12,1000000.0
2021-04-13,1000000.0
2021-04-14,1000000.0
2021-04-15,1000000.0
2021-04-16,1000000.0
2021-04-17,1000000.0
2021-04-18,1000000.0
2021-04-19,1000000.0
2021-04-20,1000000.0
2021-04-21,1000000.0
2021-04-22,1000000.0
2021-04-23,1000000.0
2021-04-24,1000000.0
2021-04-25,1000000.0
2021-04-26,1000000.0
2021-04-27,1000000.0
2021-04-28,1000000.0
2021-04-29,1000000.0
2021-04-30,1000000.0
2021-05-01,1000000.0
2021-05-02,1000000.0
2021-05-03,1000000.0
2021-05-04,1000000.0
2021-05-05,1000000.0
2021-05-06,1000000.0
2021-05-07,1000000.0
2021-05-08,1000000.0
2021-05-09,1000000.0
2021-05-10,1000000.0
2021-05-11,1000000.0
2021-05-12,1000000.0
2021-05-13,1000000.0
2021-05-14,1000000.0
2021-05-15,1000000.0
2021-05-16,1000000.0
2021-05-17,1000000.0
2021-05-18,1000000.0
2021-05-19,1000000.0
2021-05-20,1000000.0
2021-05-21,1000000.0
2021-05-22,1000000.0
2021-05-23,1000000.0
2021-05-24,1000000.0
2021-05-25,1000000.0
2021-05-26,1000000.0
2021-05-27,1000000.0
2021-05-28,1000000.0
2021-05-29,1000000.0
2021-05-30,1000000.0
2021-05-31,1000000.0
2021-06-01,1000000.0
2021-06-02,1000000.0
2021-06-03,1000000.0
2021-06-04,1000000.0
2021-06-05,1000000.0
2021-06-06,1000000.0
2021-06-07,1000000.0
2021-06-08,1000000.0
2021-06-09,1000000.0
2021-06-10,1000000.0
2021-06-11,1000000.0
2021-06-12,1000000.0
2021-06-13,1000000.0
2021-06-14,1000000.0
2021-06-15,1000000.0
2021-06-16,1000000.0
2021-06-17,1000000.0
2021-06-18,1000000.0
2021-06-19,1000000.0
2021-06-20,1000000.0
2021-06-21,1000000.0
2021-06-22,1000000.0
2021-06-23,1000000.0
2021-06-24,1000000.0
2021-06-25,1000000.0
2021-06-26,1000000.0
2021-06-27,1000000.0
2021-06-28,1000000.0
2021-06-29,1000000.0
2021-06-30,1000000.0
2021-07-01,1000000.0
2021-07-02,1000000.0
2021-07-03,1000000.0
2021-07-04,1000000.0
2021-07-05,1000000.0
2021-07-06,1000000.0
2021-07-07,1000000.0
2021-07-08,1000000.0
2021-07-09,1000000.0
2021-07-10,1000000.0
2021-07-11,1000000.0
2021-07-12,1000000.0
2021-07-13,1000000.0
2021-07-14,1000000.0
2021-07-15,1000000.0
2021-07-16,1000000.0
2021-07-17,1000000.0
2021-07-18,1000000.0
2021-07-19,1000000.0
2021-07-20,995830.157245994
2021-07-21,995830.157245994
2021-07-22,995830.157245994
2021-07-23,995830.157245994
2021-07-24,995830.157245994
2021-07-25,995830.157245994
2021-07-26,995830.157245994
2021-07-27,995830.157245994
2021-07-28,995830.157245994
2021-07-29,995830.157245994
2021-07-30,995830.157245994
2021-07-31,995830.157245994
2021-08-01,995830.157245994
2021-08-02,995830.157245994
2021-08-03,995830.157245994
2021-08-04,995830.157245994
2021-08-05,995830.157245994
2021-08-06,995830.157245994
2021-08-07,995830.157245994
2021-08-08,995830.157245994
2021-08-09,995830.157245994
2021-08-10,995830.157245994
2021-08-11,995830.157245994
2021-08-12,995830.157245994
2021-08-13,995830.157245994
2021-08-14,995830.157245994
2021-08-15,995830.157245994
2021-08-16,995830.157245994
2021-08-17,995830.157245994
2021-08-18,995830.157245994
2021-08-19,995830.157245994
2021-08-20,995830.157245994
2021-08-21,995830.157245994
2021-08-22,995830.157245994
2021-08-23,995830.157245994
2021-08-24,995830.157245994
2021-08-25,995830.157245994
2021-08-26,995830.157245994
2021-08-27,995830.157245994
2021-08-28,995830.157245994
2021-08-29,995830.157245994
2021-08-30,995830.157245994
2021-08-31,995830.157245994
2021-09-01,995830.157245994
2021-09-02,995830.157245994
2021-09-03,995830.157245994
2021-09-04,995830.157245994
2021-09-05,995830.157245994
2021-09-06,995830.157245994
2021-09-07,995830.157245994
2021-09-08,995830.157245994
2021-09-09,995830.157245994
2021-09-10,995830.157245994
2021-09-11,995830.157245994
2021-09-12,995830.157245994
2021-09-13,995830.157245994
2021-09-14,995830.157245994
2021-09-15,995830.157245994
2021-09-16,995830.157245994
2021-09-17,995830.157245994
2021-09-18,995830.157245994
2021-09-19,995830.157245994
2021-09-20,995830.157245994
2021-09-21,995830.157245994
2021-09-22,995830.157245994
2021-09-23,995830.157245994
2021-09-24,995830.157245994
2021-09-25,995830.157245994
2021-09-26,995830.157245994
2021-09-27,995830.157245994
2021-09-28,995830.157245994
2021-09-29,995830.157245994
2021-09-30,995830.157245994
2021-10-01,995830.157245994
2021-10-02,995830.157245994
2021-10-03,995830.157245994
2021-10-04,995830.157245994
2021-10-05,995830.157245994
2021-10-06,995830.157245994
2021-10-07,995830.157245994
2021-10-08,995830.157245994
2021-10-09,995830.157245994
2021-10-10,995830.157245994
2021-10-11,995830.157245994
2021-10-12,995830.157245994
2021-10-13,995830.157245994
2021-10-14,995830.157245994
2021-10-15,1038434.2193815552
2021-10-16,1038434.2193815552
2021-10-17,1030391.3872611618
2021-10-18,1024770.3665789145
2021-10-19,1041874.0031301974
2021-10-20,1094032.7706331802
2021-10-21,1076679.9303319254
2021-10-22,1082566.2800185184
2021-10-23,1112691.8147403712
2021-10-24,1098659.050340095
2021-10-25,1134522.561866103
2021-10-26,1144611.7826219394
2021-10-27,1061085.3498174567
2021-10-28,1061085.3498174567
2021-10-29,1061085.3498174567
2021-10-30,1061085.3498174567
2021-10-31,1061085.3498174567
2021-11-01,1061085.3498174567
2021-11-02,1061085.3498174567
2021-11-03,1061085.3498174567
2021-11-04,1061085.3498174567
2021-11-05,1061085.3498174567
2021-11-06,1061085.3498174567
2021-11-07,1061085.3498174567
2021-11-08,1061085.3498174567
2021-11-09,1061085.3498174567
2021-11-10,1061085.3498174567
2021-11-11,1061085.3498174567
2021-11-12,1061085.3498174567
2021-11-13,1061085.3498174567
2021-11-14,1061085.3498174567
2021-11-15,1061085.3498174567
2021-11-16,1061085.3498174567
2021-11-17,1061085.3498174567
2021-11-18,1061085.3498174567
2021-11-19,1061085.3498174567
2021-11-20,1061085.3498174567
2021-11-21,1061085.3498174567
2021-11-22,1061085.3498174567
2021-11-23,1061085.3498174567
2021-11-24,1061085.3498174567
2021-11-25,1061085.3498174567
2021-11-26,1061085.3498174567
2021-11-27,1061085.3498174567
2021-11-28,1061085.3498174567
2021-11-29,1061085.3498174567
2021-11-30,1061085.3498174567
2021-12-01,1061085.3498174567
2021-12-02,1061085.3498174567
2021-12-03,1061085.3498174567
2021-12-04,1061085.3498174567
2021-12-05,1061085.3498174567
2021-12-06,1061085.3498174567
2021-12-07,1061085.3498174567
2021-12-08,1061085.3498174567
2021-12-09,1061085.3498174567
2021-12-10,1061085.3498174567
2021-12-11,1061085.3498174567
2021-12-12,1061085.3498174567
2021-12-13,1061085.3498174567
2021-12-14,1061085.3498174567
2021-12-15,1061085.3498174567
2021-12-16,1061085.3498174567
2021-12-17,1061085.3498174567
2021-12-18,1061085.3498174567
2021-12-19,1061085.3498174567
2021-12-20,1061085.3498174567
2021-12-21,1061085.3498174567
2021-12-22,1061085.3498174567
2021-12-23,1061085.3498174567
2021-12-24,1061085.3498174567
2021-12-25,1061085.3498174567
2021-12-26,1061085.3498174567
2021-12-27,1056457.5054686097
2021-12-28,1029539.1382909927
2021-12-29,1029539.1382909927
2021-12-30,1029539.1382909927
2021-12-31,1031359.386771073
2022-01-01,1044205.5228376872
2022-01-02,1044604.5502744225
2022-01-03,1034693.9139497174
2022-01-04,1028385.5794139815
2022-01-05,1013833.1045433772
2022-01-06,1013401.051182956
2022-01-07,995926.1296162825
2022-01-08,988858.1083788567
2022-01-09,999619.8178887956
2022-01-10,1000309.8375123219
2022-01-11,1018293.8647150794
2022-01-12,1030340.8451646891
2022-01-13,1008232.4502133584
2022-01-14,1020845.1543418289
2022-01-15,1019975.7997932325
2022-01-16,1027774.2640958246
2022-01-17,975168.5210975293
2022-01-18,968899.5991975932
2022-01-19,963115.3341939485
2022-01-20,963115.3341939485
2022-01-21,963115.3341939485
2022-01-22,963115.3341939485
2022-01-23,963115.3341939485
2022-01-24,963115.3341939485
2022-01-25,963115.3341939485
2022-01-26,963115.3341939485
2022-01-27,963115.3341939485
2022-01-28,963115.3341939485
2022-01-29,963115.3341939485
2022-01-30,963115.3341939485
2022-01-31,963115.3341939485
2022-02-01,963115.3341939485
2022-02-02,963115.3341939485
2022-02-03,963115.3341939485
2022-02-04,963115.3341939485
2022-02-05,963115.3341939485
2022-02-06,963115.3341939485
2022-02-07,963115.3341939485
2022-02-08,963115.3341939485
2022-02-09,963115.3341939485
2022-02-10,963115.3341939485
2022-02-11,963115.3341939485
2022-02-12,963115.3341939485
2022-02-13,963115.3341939485
2022-02-14,964616.3841843458
2022-02-15,969095.6602043883
2022-02-16,968116.731146129
2022-02-17,966767.7653008774
2022-02-18,964143.3567064786
2022-02-19,963436.6556770297
2022-02-20,962272.0495075524
2022-02-21,955941.9472174718
2022-02-22,958870.5051641634
2022-02-23,960010.6223596579
2022-02-24,959095.6297945265
2022-02-25,959095.6297945265
2022-02-26,959095.6297945265
2022-02-27,959095.6297945265
2022-02-28,959095.6297945265
2022-03-01,959095.6297945265
2022-03-02,959095.6297945265
2022-03-03,959095.6297945265
2022-03-04,959095.6297945265
2022-03-05,959095.6297945265
2022-03-06,959095.6297945265
2022-03-07,959095.6297945265
2022-03-08,959095.6297945265
2022-03-09,959095.6297945265
2022-03-10,959095.6297945265
2022-03-11,959095.6297945265
2022-03-12,959095.6297945265
2022-03-13,959095.6297945265
2022-03-14,959095.6297945265
2022-03-15,959095.6297945265
2022-03-16,959095.6297945265
2022-03-17,959095.6297945265
2022-03-18,959095.6297945265
2022-03-19,959095.6297945265
2022-03-20,959095.6297945265
2022-03-21,959095.6297945265
2022-03-22,959095.6297945265
2022-03-23,959095.6297945265
2022-03-24,963895.2414667038
2022-03-25,963407.0745822403
2022-03-26,962030.883124102
2022-03-27,963325.4486088268
2022-03-28,962233.3950642161
2022-03-29,964714.3627043288
2022-03-30,965466.6821551187
2022-03-31,958329.4722597619
2022-04-01,959271.1914475766
2022-04-02,955022.5593168332
2022-04-03,966038.3957032994
2022-04-04,965610.2020980625
2022-04-05,965750.4953291874
2022-04-06,914715.3716193773
2022-04-07,928673.0566272535
2022-04-08,915537.2663436368
2022-04-09,921643.9145361999
