,0
2020-04-10,10000.0
2020-04-11,10000.0
2020-04-12,10000.0
2020-04-13,10000.0
2020-04-14,10000.0
2020-04-15,10000.0
2020-04-16,10000.0
2020-04-17,10000.0
2020-04-18,9985.0
2020-04-19,11069.735347870246
2020-04-20,12310.568095542683
2020-04-21,11192.087679272454
2020-04-22,9210.270496080677
2020-04-23,10035.037737250035
2020-04-24,10113.446009046866
2020-04-25,9966.540188866833
2020-04-26,10085.758448940975
2020-04-27,11055.463577938885
2020-04-28,12772.988124387472
2020-04-29,14406.02758535706
2020-04-30,13347.652258834598
2020-05-01,14076.780512824758
2020-05-02,13827.26721829609
2020-05-03,13125.334356887213
2020-05-04,12892.703343148147
2020-05-05,12397.191593374135
2020-05-06,11988.124726558402
2020-05-07,12170.71390007763
2020-05-08,12328.251131673022
2020-05-09,12333.855111081173
2020-05-10,13708.433513997034
2020-05-11,14261.189101595986
2020-05-12,13613.402437015488
2020-05-13,13308.494216340332
2020-05-14,12856.556948649044
2020-05-15,13065.587761190525
2020-05-16,12144.076813339238
2020-05-17,11842.328772252997
2020-05-18,11824.565279094617
2020-05-19,11313.369770788991
2020-05-20,10492.69529705177
2020-05-21,11031.845409260992
2020-05-22,11574.637924180719
2020-05-23,11106.416936559124
2020-05-24,9947.313253018558
2020-05-25,10856.01579608566
2020-05-26,11351.623651461714
2020-05-27,10999.342015693033
2020-05-28,11258.787278611759
2020-05-29,11308.401432925948
2020-05-30,11139.91288681824
2020-05-31,11477.073173279672
2020-06-01,11289.90025301737
2020-06-02,11005.285730677957
2020-06-03,10558.754657251124
2020-06-04,10558.754657251124
2020-06-05,10542.916525265247
2020-06-06,9925.607383829558
2020-06-07,9832.0822626045
2020-06-08,10657.060153332197
2020-06-09,10492.63865798445
2020-06-10,10283.184929397317
2020-06-11,9149.01022583896
2020-06-12,9442.512547387298
2020-06-13,9200.962303641885
2020-06-14,9529.525462754034
2020-06-15,9794.458974199797
2020-06-16,9536.13695670646
2020-06-17,9599.613321738714
2020-06-18,8947.447133206057
2020-06-19,8005.6351868067
2020-06-20,7529.027650919616
2020-06-21,7874.810960655442
2020-06-22,8503.007111514586
2020-06-23,8285.98895139327
2020-06-24,8621.700008987775
2020-06-25,8343.276323593118
2020-06-26,8670.248334037244
2020-06-27,8347.4174870038
2020-06-28,9341.167010939922
2020-06-29,9972.404710005396
2020-06-30,10061.781043336683
2020-07-01,9740.634831898493
2020-07-02,9127.366114327091
2020-07-03,8985.510174702113
2020-07-04,9129.156039647049
2020-07-05,8091.407961877943
2020-07-06,8257.163561725261
2020-07-07,7729.0039818906
2020-07-08,7279.30925019805
2020-07-09,6759.45002132102
2020-07-10,6261.775915256073
2020-07-11,6337.611788117338
2020-07-12,6968.833978441209
2020-07-13,8058.784677106849
2020-07-14,7869.202348774915
2020-07-15,8839.2375530514
2020-07-16,5979.935814170989
2020-07-17,6702.347430441929
2020-07-18,6625.209522677802
2020-07-19,6308.309670345776
2020-07-20,5965.452593181261
2020-07-21,5253.154424968746
2020-07-22,4892.35070096746
2020-07-23,4864.404145360892
2020-07-24,5101.3598347892275
2020-07-25,6410.257038704711
2020-07-26,6400.641653146654
2020-07-27,7273.873250097147
2020-07-28,7296.083985512379
2020-07-29,6781.7045309849
2020-07-30,6898.331489460276
2020-07-31,6290.5010932906425
2020-08-01,6243.1930410076975
2020-08-02,7127.360106385924
2020-08-03,7371.920978855576
2020-08-04,7643.1586730464305
2020-08-05,7631.693935036861
2020-08-06,9596.860961841205
2020-08-07,9072.966238998988
2020-08-08,10759.424753555815
2020-08-09,11592.83220978384
2020-08-10,13622.231388785314
2020-08-11,14368.746342826555
2020-08-12,16397.131297202613
2020-08-13,16337.192488511833
2020-08-14,14829.675138694169
2020-08-15,13848.422146963167
2020-08-16,14726.435782958943
2020-08-17,13477.887935654542
2020-08-18,14464.043266112676
2020-08-19,14464.043266112676
2020-08-20,14442.347201213506
2020-08-21,15630.601935137085
2020-08-22,15217.47995139532
2020-08-23,13695.45020905067
2020-08-24,13579.215847545698
2020-08-25,13558.84702377438
2020-08-26,14757.511289130061
2020-08-27,14735.375022196366
2020-08-28,17157.721780898588
2020-08-29,16975.57869140546
2020-08-30,18973.11356639105
2020-08-31,20453.994572659984
2020-09-01,18582.570212492446
2020-09-02,17812.478722184165
2020-09-03,15087.306623193532
2020-09-04,15166.239272430965
2020-09-05,11066.43103658931
2020-09-06,8984.944091816016
2020-09-07,9441.762175334385
2020-09-08,10921.510993771244
2020-09-09,5755.349461754795
2020-09-10,6017.794595157917
2020-09-11,6081.124415542974
2020-09-12,6072.00272891966
2020-09-13,6247.206605489923
2020-09-14,6331.050767167989
2020-09-15,5691.944559665943
2020-09-16,4929.456687859062
2020-09-17,5585.657090915669
2020-09-18,5167.217398397946
2020-09-19,5297.617703076078
2020-09-20,5572.892273404571
2020-09-21,5743.373608740808
2020-09-22,5467.688456618389
2020-09-23,5606.110372289739
2020-09-24,5597.701206731304
2020-09-25,5697.580924933181
2020-09-26,5601.253352785956
2020-09-27,5633.852749313669
